full_name,url,language,stars,created_at,days_inactive,lot,code_churn_normalized,pr_merge_time_median_h,issues_resolution_time_h,active_contributors,bus_factor_ratio,pr_count_merged,comment_per_pr_avg,closed_issues,review_cycle_count,has_ci,ci_success_rate,has_tests,weighted_experience,commit_velocity_trend,release_regularity,weekend_commit_ratio,dependency_count,language_diversity,avg_file_size_loc,total_commits,net_loc,churn_loc,active_days,churn_hours,cycle_time_hours,cocomo_pm,cocomo_hours,effort_target,reliability_score
CorentinJ/Real-Time-Voice-Cloning,https://github.com/CorentinJ/Real-Time-Voice-Cloning,Python,59638,2019-05-26T08:56:15Z,46,1,60.0,9.917916666666668,1309.0636111111112,17,0.9307,42,0.0,1,1.0,1,0.8889,1,11.038,-0.0035,0.0,0.15,30,0.0,0.0,274,10817243.4,8220.0,137,548.0,168.6,49569.54,7931127.0,1586550.0,63.7
docling-project/docling,https://github.com/docling-project/docling,Python,58521,2024-07-09T07:50:26Z,0,1,60.0,1.5116666666666667,53.86972222222222,211,0.2324,91,0.0,1,2.0,1,0.72,1,5.988,1.0385,3.1,0.07,206,0.007,0.0,826,7922863.5,24780.0,413,1652.0,319.0,29787.74,4766038.1,954129.3,85.1
microsoft/autogen,https://github.com/microsoft/autogen,Python,57403,2023-08-18T11:43:45Z,9,1,60.0,6.059722222222222,139.98888888888888,443,0.131,77,0.0,1,1.0,1,0.16,0,12.783,0.0315,8.73,0.19,0,0.384,0.0,3610,4350303.1,108300.0,1805,7220.0,2684.5,15872.92,2539666.6,512348.7,82.9
ultralytics/yolov5,https://github.com/ultralytics/yolov5,Python,57290,2020-05-18T03:45:11Z,1,1,60.0,10.392777777777775,1005.8025,331,0.7653,55,0.0,1,1.0,1,0.96,0,9.084,0.2378,54.61,0.23,34,0.0156,0.0,2850,509103.5,85500.0,1425,5700.0,3440.0,2002.35,320375.2,67957.0,77.3
virattt/ai-hedge-fund,https://github.com/virattt/ai-hedge-fund,Python,57253,2024-11-29T16:30:01Z,0,1,60.07,10.561666666666667,21.15361111111111,36,0.9184,20,0.0,1,1.0,1,1.0,1,14.55,0.4476,0.0,0.19,28,0.3985,0.0,809,89995.0,24270.0,404,1618.0,380.2,324.58,51932.8,11309.6,78.0
zylon-ai/private-gpt,https://github.com/zylon-ai/private-gpt,Python,57205,2023-05-02T09:15:31Z,57,1,60.0,17.7675,52.58,88,0.3885,35,0.0,1,1.0,1,0.4,1,14.241,-0.035,37.75,0.0,121,0.2423,0.0,314,81861.5,9420.0,157,628.0,1563.5,244.88,39180.0,8619.0,71.1
666ghj/MiroFish,https://github.com/666ghj/MiroFish,Python,57193,2025-11-26T04:23:02Z,22,1,60.0,9.547777777777778,20.63305555555556,3,0.8654,2,0.0,1,0.0,1,0.3,0,4.606,0.2727,6.58,0.11,13,0.4234,0.0,260,473877.9,7800.0,130,520.0,28.6,1857.13,297140.8,59696.7,50.7
karpathy/nanoGPT,https://github.com/karpathy/nanoGPT,Python,57131,2022-12-28T00:51:12Z,163,1,60.0,82.13777777777777,94.89472222222224,35,0.774,35,0.0,1,0.0,0,0.0,0,15.912,0.0,0.0,0.34,0,0.0,0.0,208,28701.3,6240.0,104,416.0,2874.8,97.77,15642.6,4199.0,41.8
RVC-Boss/GPT-SoVITS,https://github.com/RVC-Boss/GPT-SoVITS,Python,56949,2024-01-14T18:05:21Z,5,1,60.06,2.0105555555555554,70.82055555555556,95,0.5893,67,0.0,1,0.0,1,0.0,0,3.734,0.3217,67.11,0.13,13,0.0295,0.0,1025,423555.7,30750.0,512,2050.0,191.0,1375.52,220083.4,45099.0,78.7
soimort/you-get,https://github.com/soimort/you-get,Python,56839,2012-08-20T15:53:36Z,12,1,60.02,8.670694444444445,0.0,226,0.6664,54,0.0,1,0.0,1,0.0,1,15.436,0.0,96.72,0.37,0,0.0059,0.0,2509,103511.8,75270.0,1254,5018.0,1959.6,313.29,50126.9,13122.3,82.3
ultralytics/ultralytics,https://github.com/ultralytics/ultralytics,Python,56385,2022-09-11T16:39:45Z,0,1,60.02,3.5866666666666664,26.70805555555556,350,0.4024,73,0.0,1,1.0,1,0.94,1,8.281,1.5734,2.9,0.07,168,0.0038,0.0,3847,1594543.5,115410.0,1923,7694.0,1255.3,5533.24,885318.3,181287.3,86.0
harry0703/MoneyPrinterTurbo,https://github.com/harry0703/MoneyPrinterTurbo,Python,56368,2024-03-11T02:57:34Z,3,1,60.22,2.5316666666666663,1492.0411111111111,35,0.638,30,0.0,1,1.0,1,0.5,1,11.176,0.8042,103.81,0.36,8,0.0189,0.0,279,15576239.5,8370.0,139,558.0,88.6,60575.5,9692079.6,1938721.5,72.6
Textualize/rich,https://github.com/Textualize/rich,Python,56193,2019-11-10T15:28:09Z,12,1,60.0,6.857638888888889,32.10069444444444,266,0.72,78,0.0,1,2.0,1,0.44,1,14.606,0.6923,47.31,0.59,34,0.0006,0.0,4154,1477719.8,124620.0,2077,8308.0,1824.1,6130.05,980808.4,200862.9,81.8
ComposioHQ/awesome-claude-skills,https://github.com/ComposioHQ/awesome-claude-skills,Python,56088,2025-10-17T07:15:01Z,3,1,61.11,60.70555555555556,1.7119444444444445,13,0.5818,15,0.0,1,0.0,1,0.0,0,7.501,-0.3881,0.0,0.1636,0,0.0794,0.0,55,131130.5,1650.0,27,110.0,789.2,401.61,64257.0,13143.2,59.5
FoundationAgents/OpenManus,https://github.com/FoundationAgents/OpenManus,Python,55902,2025-03-06T14:08:14Z,72,1,60.12,6.039166666666667,1096.4170833333333,52,0.2926,41,0.0,1,0.0,1,0.94,1,6.457,0.0,0.0,0.32,11,0.0215,0.0,499,130837.9,14970.0,249,998.0,314.0,400.67,64106.4,13414.5,73.6
deepfakes/faceswap,https://github.com/deepfakes/faceswap,Python,55190,2017-12-19T09:44:13Z,0,1,60.0,19.08194444444445,23.08458333333333,81,0.8105,55,0.0,1,0.0,1,0.94,1,8.506,0.5594,403.57,0.16,16,0.013,0.0,1836,6005789.3,55080.0,918,3672.0,1545.6,26723.36,4275737.8,857447.2,81.9
