full_name,url,language,stars,created_at,days_inactive,lot,code_churn_normalized,pr_merge_time_median_h,issues_resolution_time_h,active_contributors,bus_factor_ratio,pr_count_merged,comment_per_pr_avg,closed_issues,review_cycle_count,has_ci,ci_success_rate,has_tests,weighted_experience,commit_velocity_trend,release_regularity,weekend_commit_ratio,dependency_count,language_diversity,avg_file_size_loc,total_commits,net_loc,churn_loc,active_days,churn_hours,cycle_time_hours,cocomo_pm,cocomo_hours,effort_target,reliability_score,effort_hours_real,effort_hours_sampled,effort_coverage_ratio,effort_commits_sampled,effort_total_commits,effort_contributors_seen,effort_was_capped,effort_scaling_factor
deepspeedai/DeepSpeed,https://github.com/deepspeedai/DeepSpeed,Python,42189,2020-01-23T18:35:18Z,1,1,60.0,3.4030555555555555,96.96166666666667,436,0.1494,73,0.0,1,1.0,1,0.82,1,10.316,0.1853,9.6,0.23,0,0.2628,0.0,2972,7221013.9,89160.0,1486,5944.0,1483.7,27023.36,4323737.5,868164.6,88.4,1374.5,397.9,0.2692,800,2972,122,False,3.71
ccxt/ccxt,https://github.com/ccxt/ccxt,Python,42050,2017-05-14T15:41:56Z,1,1,60.0,0.7826388888888889,22.69305555555556,346,0.5305,84,0.0,1,1.0,1,0.12,0,11.858,0.4161,2.4,0.17,320,0.7624,0.0,69423,194097093.5,2082690.0,34711,138846.0,270.8,856310.41,137009666.1,27471437.5,79.6,6359.0,78.6,0.0115,800,69423,16,False,86.78
psf/black,https://github.com/psf/black,Python,41483,2018-03-14T19:54:45Z,0,1,60.03,7.6184722222222225,1.4927777777777778,448,0.1907,84,0.0,1,1.0,1,0.66,1,12.787,0.3427,47.64,0.26,146,0.0029,0.0,1951,233384.2,58530.0,975,3902.0,3413.1,735.68,117708.1,26516.6,88.1,672.8,296.3,0.41,800,1951,118,False,2.44
hpcaitech/ColossalAI,https://github.com/hpcaitech/ColossalAI,Python,41377,2021-10-28T16:19:44Z,12,1,60.02,18.987222222222226,467.9301388888889,187,0.1266,51,0.0,1,1.0,1,0.0,1,8.661,0.0734,27.35,0.0,0,0.0677,0.0,3767,1948847.5,113010.0,1883,7534.0,3550.6,6830.9,1092944.2,223421.0,87.7,1420.0,322.9,0.2124,800,3767,24,False,4.71
chubin/cheat.sh,https://github.com/chubin/cheat.sh,Python,41270,2017-05-07T21:40:56Z,123,1,60.0,9.44875,129.17125,54,0.6922,86,0.0,1,1.0,1,0.12,1,12.736,0.0,0.0,0.47,3,0.3247,0.0,848,138005.9,25440.0,424,1696.0,510.2,423.74,67799.1,14560.9,70.5,258.1,259.4,0.9434,800,848,36,False,1.06
microsoft/qlib,https://github.com/microsoft/qlib,Python,41215,2020-08-14T06:46:00Z,3,1,60.03,7.924444444444444,216.6825,137,0.3177,77,0.0,1,3.0,1,0.88,1,11.538,0.028,82.13,0.06,65,0.0091,0.0,1851,526540.8,55530.0,925,3702.0,1085.6,1728.68,276589.0,57494.5,86.6,790.9,365.6,0.4322,800,1851,89,False,2.31
microsoft/VibeVoice,https://github.com/microsoft/VibeVoice,Python,40963,2025-08-25T13:24:01Z,1,1,60.46,21.56277777777777,42.90916666666666,20,0.3817,34,0.0,1,1.0,1,0.94,0,8.192,0.458,0.0,0.19,23,0.0,0.0,131,6310239.1,3930.0,65,262.0,431.3,23456.29,3753006.6,750861.7,68.1,49.6,49.6,1.0305,135,131,22,False,0.97
hesreallyhim/awesome-claude-code,https://github.com/hesreallyhim/awesome-claude-code,Python,40815,2025-04-19T20:55:59Z,0,1,60.0,0.553611111111111,2.5122222222222224,13,0.9448,26,0.0,1,1.0,1,0.66,1,6.244,1.2727,0.0,0.23,46,0.0188,0.0,290,612147.2,8700.0,145,580.0,7.2,2429.92,388786.5,78049.5,64.7,11.7,11.7,1.7241,500,290,1,False,0.58
HKUDS/nanobot,https://github.com/HKUDS/nanobot,Python,40780,2026-02-01T07:16:15Z,1,1,60.03,20.435277777777777,5.799444444444444,247,0.5745,34,0.0,1,1.0,1,0.88,1,6.887,-7.5804,2.82,0.21,72,0.0836,0.0,2033,1189653.9,60990.0,1016,4066.0,5047.5,4068.21,650912.9,133729.8,84.2,730.4,308.3,0.3935,800,2033,72,False,2.54
666ghj/BettaFish,https://github.com/666ghj/BettaFish,Python,40617,2024-07-01T13:11:38Z,43,1,60.0,3.506666666666667,575.4630555555556,35,0.4333,41,0.0,1,1.0,1,0.9,1,4.49,-0.2762,21.15,0.34,34,0.016,0.0,930,5485392.5,27900.0,465,1860.0,122.7,20247.87,3239659.1,648898.6,81.0,282.5,258.2,0.8602,800,930,23,False,1.16
datawhalechina/hello-agents,https://github.com/datawhalechina/hello-agents,Python,40400,2025-09-07T09:50:24Z,2,1,60.08,3.330833333333333,49.00333333333333,65,0.6231,56,0.0,1,0.0,1,0.96,0,4.576,-0.472,0.0,0.24,0,0.2749,0.0,727,5448001.8,21810.0,363,1454.0,216.5,20102.98,3216476.1,644087.2,74.5,271.5,287.9,1.1004,800,727,80,False,0.91
paperless-ngx/paperless-ngx,https://github.com/paperless-ngx/paperless-ngx,Python,39869,2022-02-12T21:56:52Z,1,1,60.0,23.272777777777776,0.8665277777777778,387,0.4222,71,0.0,1,1.0,1,0.9,0,11.639,-0.993,12.64,0.06,190,0.4226,0.0,8470,5450488.7,254100.0,4235,16940.0,9006.6,20112.61,3218017.8,654775.5,80.7,2066.9,211.5,0.0945,800,8470,10,False,10.59
vnpy/vnpy,https://github.com/vnpy/vnpy,Python,39797,2015-03-02T03:36:58Z,3,1,60.0,10.131666666666666,460.3743055555556,128,0.432,40,0.0,1,0.0,1,0.44,1,9.578,0.0,28.89,0.1,60,0.0052,0.0,6768,8867284.1,203040.0,3384,13536.0,1296.9,33526.75,5364279.3,1080012.9,85.4,2256.2,287.3,0.1182,800,6768,17,False,8.46
agno-agi/agno,https://github.com/agno-agi/agno,Python,39650,2022-05-04T15:23:02Z,1,1,60.0,25.83361111111111,16.22972222222222,416,0.4307,71,0.0,1,1.0,1,0.18,0,8.104,-2.0699,3.09,0.01,0,0.003,0.0,5414,8291796.1,162420.0,2707,10828.0,10746.8,31245.85,4999335.4,1008505.1,80.6,1985.6,316.0,0.1478,800,5414,74,False,6.77
2noise/ChatTTS,https://github.com/2noise/ChatTTS,Python,39150,2024-05-27T18:26:49Z,15,1,60.16,62.32236111111112,1100.5319444444444,57,0.6621,34,0.0,1,1.0,1,0.8,1,7.67,0.0979,100.5,0.15,5,0.005,0.0,367,315157.9,11010.0,183,734.0,3552.4,1008.48,161356.3,33704.0,72.6,136.1,136.1,1.1826,434,367,57,False,0.85
