full_name,url,language,stars,created_at,days_inactive,lot,code_churn_normalized,pr_merge_time_median_h,issues_resolution_time_h,active_contributors,bus_factor_ratio,pr_count_merged,comment_per_pr_avg,closed_issues,review_cycle_count,has_ci,ci_success_rate,has_tests,weighted_experience,commit_velocity_trend,release_regularity,weekend_commit_ratio,dependency_count,language_diversity,avg_file_size_loc,total_commits,net_loc,churn_loc,active_days,churn_hours,cycle_time_hours,cocomo_pm,cocomo_hours,effort_target,reliability_score,project_age_days
hacksider/Deep-Live-Cam,https://github.com/hacksider/Deep-Live-Cam,Python,92171,2023-09-24 13:19:31+00:00,0,1,49.35,6.850833333333333,15.521666666666668,63,0.494,43,0.0,1,1.0,1,0.86,0,10.217,0.6503,20.1,0.31,10,0.0003,0.0,583,29150,46640,291,3109.3,431.6,82.81,13249.6,4334.0,73.8,945
github/spec-kit,https://github.com/github/spec-kit,Python,90646,2025-08-21 22:54:31+00:00,0,1,265.26,3.0619444444444444,15.636805555555556,168,0.4408,29,0.0,1,2.0,1,0.86,1,7.742,4.1434,1.71,0.0,46,0.0838,0.0,819,40950,65520,409,4368.0,514.4,118.33,18932.1,6124.7,82.9,247
browser-use/browser-use,https://github.com/browser-use/browser-use,Python,89932,2024-10-31 16:00:56+00:00,3,1,1352.88,9.920555555555556,81.41486111111111,306,0.3421,38,0.0,1,1.0,1,0.26,1,9.051,-6.7483,6.13,0.19,136,0.0197,0.0,9115,455750,729200,4557,48613.3,3035.7,1485.51,237680.9,72753.5,86.3,539
django/django,https://github.com/django/django,Python,87325,2012-04-28 02:47:18+00:00,0,1,465.33,5.646805555555556,0.0,394,0.1185,14,0.0,1,1.0,1,0.56,1,16.171,-0.2937,0.0,0.26,7,0.0283,0.0,29729,1486450,2378320,14864,158554.7,2224.8,5140.07,822411.3,244427.0,88.8,5111
3b1b/manim,https://github.com/3b1b/manim,Python,86261,2015-03-22 18:50:58+00:00,6,1,122.21,7.871388888888889,24.687916666666663,172,0.7834,49,0.0,1,1.0,1,0.0,0,10.583,-0.5315,244.97,0.03,7,0.0364,0.0,6181,309050,494480,3090,32965.3,1353.9,1185.56,189689.2,54826.7,76.7,4046
bregman-arie/devops-exercises,https://github.com/bregman-arie/devops-exercises,Python,82151,2019-10-03 17:31:21+00:00,118,1,14.25,4.716666666666667,203.88333333333333,205,0.1626,69,0.0,1,1.0,1,0.4359,1,8.619,0.0,0.0,0.3,0,0.3388,0.0,406,20300,32480,203,2165.3,966.9,56.63,9061.5,3185.0,69.6,2279
sherlock-project/sherlock,https://github.com/sherlock-project/sherlock,Python,81858,2018-12-24 14:30:48+00:00,0,1,83.01,8.946111111111112,14.591527777777776,270,0.3121,70,0.0,1,1.0,1,0.52,1,10.237,0.2448,0.0,0.32,37,0.0279,0.0,2781,139050,222480,1390,14832.0,2415.5,427.11,68337.8,21808.2,86.9,2680
infiniflow/ragflow,https://github.com/infiniflow/ragflow,Python,78935,2023-12-12 06:13:13+00:00,0,1,533.76,0.26,1.8411111111111111,462,0.2011,9,0.0,1,1.0,1,0.46,1,10.323,2.2972,15.95,0.0,162,0.542,0.0,5778,288900,462240,2889,30816.0,120.1,920.44,147270.6,44898.2,88.0,866
vllm-project/vllm,https://github.com/vllm-project/vllm,Python,78029,2023-02-09 11:23:20+00:00,0,1,900.89,20.434444444444445,0.915,459,0.0675,74,0.0,1,3.0,1,0.46,1,8.916,-3.1853,10.82,0.0,95,0.1179,0.0,13198,659900,1055840,6599,70389.3,9379.4,2191.11,350576.9,108123.8,89.3,1172
tensorflow/models,https://github.com/tensorflow/models,Python,77666,2016-02-05 01:15:20+00:00,1,1,177.98,47.61541666666667,427.4619444444445,357,0.1986,66,0.0,1,1.0,1,0.78,0,11.454,-0.1119,60.52,0.04,0,0.147,0.0,8303,415150,664240,4151,44282.7,16998.7,1346.87,215499.6,70340.9,82.9,3732
swisskyrepo/PayloadsAllTheThings,https://github.com/swisskyrepo/PayloadsAllTheThings,Python,77163,2016-10-18 07:29:07+00:00,2,1,47.06,2.683333333333333,0.0,292,0.6311,91,0.0,1,1.0,1,0.78,0,10.674,0.007,358.2,0.35,0,0.2377,0.0,2044,102200,163520,1022,10901.3,783.5,309.13,49460.1,15577.7,78.5,3475
