stars,days_inactive,code_churn_normalized,pr_merge_time_median_h,issues_resolution_time_h,active_contributors,bus_factor_ratio,pr_count_merged,review_cycle_count,has_ci,ci_success_rate,has_tests,weighted_experience,commit_velocity_trend,release_regularity,weekend_commit_ratio,dependency_count,language_diversity,log_active_contributors,log_pr_count_merged,log_stars,log_dependency_count,log_code_churn_normalized,log_pr_merge_time_median_h,log_issues_resolution_time_h,process_maturity,effort_distribution,ci_failure_rate,pr_per_contributor,exp_weighted_churn,contributor_productivity,review_effort_proxy
15106,39,69.15,4.767777777777778,103.6325,23,0.2627,41,1.0,1,0.46,1,6.491,-0.6713,61.62,0.5,0,0.015,3.1780538303479458,3.7376696182833684,9.622913491543725,0.0,4.25063580654847,1.7522868725029184,4.650454210828236,1.0,0.7373000000000001,0.54,1.7083333333333333,448.85265000000004,2.88125,4.767777777777778
15101,26,22.55,46.034444444444446,77.82055555555556,12,0.9902,15,1.0,0,0.0,0,13.802,0.0524,0.0,0.43,0,0.0,2.5649493574615367,2.772588722239781,9.62258246436337,0.0,3.159125820462427,3.850880193819013,4.367173820150487,0.0,0.009800000000000031,1.0,1.1538461538461537,311.2351,1.7346153846153847,46.034444444444446
15011,1,74.3,15.461944444444445,115.6925,150,0.2194,63,1.0,1,0.44,1,10.532,0.5105,65.47,0.05,0,0.1086,5.017279836814924,4.1588830833596715,9.616605160254911,0.0,4.321480134805848,2.80105131976918,4.75954226987509,1.0,0.7806,0.56,0.41721854304635764,782.5276,0.4920529801324503,15.461944444444445
14932,0,148.09,0.2640277777777777,110.50916666666669,255,0.2707,70,2.0,1,0.18,0,11.624,0.1224,31.15,0.0,0,0.0055,5.545177444479562,4.2626798770413155,9.61132880805727,0.0,5.004550150440307,0.23430327157320893,4.7141067997780315,0.5,0.7293000000000001,0.8200000000000001,0.2734375,1721.3981600000002,0.5784765625,0.5280555555555554
14692,144,33.8,9.329166666666667,119.77666666666669,158,0.2058,95,3.0,1,0.08,1,10.791,0.0,53.13,0.1,0,0.3275,5.0689042022202315,4.564348191467836,9.595126468875947,0.0,3.5496173867804286,2.3349716086931993,4.793943110110659,1.0,0.7942,0.92,0.5974842767295597,364.7358,0.21257861635220124,27.987500000000004
14595,2,134.62,6.025277777777778,286.04027777777776,366,0.51,65,1.0,1,0.56,0,16.231,1.0734,0.0,0.17,0,0.0186,5.905361848054571,4.189654742026425,9.588502797556337,0.0,4.909856857255696,1.9495147557587522,5.659622546601909,0.5,0.49,0.43999999999999995,0.1771117166212534,2185.01722,0.36681198910081747,6.025277777777778
14553,0,110.67,1.4855555555555555,123.00833333333334,136,0.1477,87,1.0,1,0.72,0,11.293,-0.1399,7.19,0.07,186,0.0991,4.919980925828125,4.477336814478207,9.585621148907032,5.231108616854587,4.7155480934577,0.9104961981658188,4.820348767648004,0.5,0.8523000000000001,0.28,0.635036496350365,1249.79631,0.8078102189781022,1.4855555555555555
14496,3,215.08,61.19833333333333,90.52055555555556,440,0.2875,69,1.0,1,0.38,1,12.725,-0.2867,26.3,0.0,4,0.4221,6.089044875446846,4.248495242049359,9.581697010450897,1.6094379124341003,5.37564870948436,4.130328204102104,4.516563597931634,1.0,0.7125,0.62,0.1564625850340136,2736.893,0.4877097505668935,61.19833333333333
14494,144,29.73,5.498749999999999,38.951388888888886,112,0.5403,70,0.0,1,0.4,0,13.834,0.0,0.0,0.05,0,0.0098,4.727387818712341,4.2626798770413155,9.581559041355757,0.0,3.425239376142393,1.8716098507157883,3.6876634372872927,0.5,0.4597,0.6,0.6194690265486725,411.28481999999997,0.26309734513274335,0.0
14487,32,37.5,13.287638888888887,3193.208333333333,86,0.8414,80,1.0,1,0.78,1,13.702,-0.1783,298.8,0.72,50,0.0,4.465908118654584,4.394449154672439,9.58107599956325,3.9318256327243257,3.6506582412937387,2.6593947500807764,8.069094553114095,1.0,0.15859999999999996,0.21999999999999997,0.9195402298850575,513.825,0.43103448275862066,13.287638888888887
14369,179,147.72,0.9188888888888888,302.56958333333336,210,0.4578,81,2.0,1,0.76,1,9.782,0.0,74.31,0.27,9,0.0002,5.351858133476067,4.406719247264253,9.57289797907307,2.302585092994046,5.0020653434131885,0.6517463148223679,5.715610853853358,1.0,0.5422,0.24,0.38388625592417064,1444.99704,0.7000947867298578,1.8377777777777775
14364,26,149.27,7.113333333333333,1097.9116666666669,188,0.9134,71,3.0,1,0.82,0,12.345,-0.028,106.97,0.42,2,0.024,5.241747015059643,4.276666119016055,9.57254997141339,1.0986122886681098,5.012433676037635,2.0935087988912713,7.002075575073805,0.5,0.08660000000000001,0.18000000000000005,0.37566137566137564,1842.7381500000001,0.7897883597883598,21.34
14271,0,105.12,4.708333333333334,20.82583333333333,22,0.8302,56,1.0,1,0.7,0,5.85,3.7098,50.71,0.11,0,0.4018,3.1354942159291497,4.04305126783455,9.566054854819791,0.0,4.664570529269539,1.7419270954801793,3.0830942835091415,0.5,0.16979999999999995,0.30000000000000004,2.4347826086956523,614.952,4.570434782608696,4.708333333333334
14038,1,525.61,5.132083333333333,150.48305555555555,312,0.091,96,2.0,1,0.76,1,11.836,-0.5385,29.87,0.03,96,0.0002,5.746203190540153,4.574710978503383,9.549594449971952,4.574710978503383,6.266460236627443,1.8135345508280758,5.020473774176574,1.0,0.909,0.24,0.30670926517571884,6221.11996,1.67926517571885,10.264166666666666
13525,2,28.21,17.485277777777778,526.3786111111111,111,0.5147,71,1.0,1,0.42,1,10.989,0.0,37.94,0.0,75,0.0711,4.718498871295094,4.276666119016055,9.512369038134885,4.330733340286331,3.3745111163996495,2.9169746194749187,6.267918717751917,1.0,0.48529999999999995,0.5800000000000001,0.6339285714285714,309.99969000000004,0.251875,17.485277777777778
13523,1,92.73,9.47222222222222,241.245,240,0.1936,73,1.0,1,0.62,0,12.328,-0.1224,74.41,0.09,0,0.1797,5.484796933490655,4.30406509320417,9.512221163827776,0.0,4.540418308758395,2.3487262489919005,5.48994961072299,0.5,0.8064,0.38,0.3029045643153527,1143.17544,0.3847717842323652,9.47222222222222
